word,frequentcy
countless(9),1
hour(1),6
clinic(3),1
frequent(3),1
visit(1),8
passion(3),2
respect(2),3
begin(1),32
light(1),7
senior(4),1
pursue(3),2
degree(2),5
plan(1),9
knowledge(2),5
educate(3),1
care(1),5
cope(4),3
feelings(1),3
hopelessness(9),1
redwood(9),4
tall(1),2
plant(1),15
height(2),1
redwoods(9),1
forest(1),9
moist(3),1
tropical(3),5
north(1),7
climate(2),2
retreat(4),1
narrow(2),1
strip(3),5
along(1),5
pacific(5),1
coast(1),3
northern(2),1
trunk(3),1
stout(5),1
form(2),15
single(2),5
straight(2),3
beautiful(1),6
spongy(9),1
bark(2),5
pretty(1),1
mature(3),1
certain(1),7
protection(3),4
main(2),7
benefit(3),2
center(1),6
intact(6),1
moderate(4),2
fire(1),5
resistant(6),2
quality(2),5
explain(2),3
while(1),26
type(2),11
destroy(3),2
actually(9),9
prosper(4),1
will(1),40
clear(1),6
ground(1),4
rise(1),4
open(1),12
ripe(3),1
cone(3),1
release(3),5
seed(1),1
onto(3),2
baby(1),7
base(1),12
sprouts(9),2
nourish(6),2
root(1),3
system(3),4
free(1),5
full(1),4
cycle(3),1
enjoyable(3),1
introduce(2),2
themselves(9),4
whole(1),2
dark(1),4
brown(1),1
elbow(3),1
he's(9),1
sensitive(3),2
sun(1),2
weekend(1),1
picnic(2),1
seem(1),10
confident(3),2
won't(9),3
outcome(4),2
election(3),1
traffic(2),6
write(1),9
chu's(9),1
energy(2),9
source(2),6
attract(3),6
office(1),2
cut(1),2
lemon(2),1
juice(1),1
sugar(1),3
religion(3),2
total(1),1
table(1),4
general(1),4
book(1),10
chapter(3),1
might(3),11
interest(1),9
clown(2),1
appear(1),9
stage(2),3
clap(2),1
maggie(9),2
bring(1),22
i-lan(9),1
county(2),2
huge(1),5
rainfall(4),1
name(1),44
number-based(9),2
convention(4),1
list-based(9),2
following(2),4
typhoon(2),10
coded(9),1
number(1),14
4-digit(9),1
6-digit(9),1
disadvantage(4),1
hard(1),11
compile(6),1
advance(2),1
female(2),4
girlfriends(9),1
wife(1),4
expert(2),2
male(2),4
include(2),6
protest(4),1
original(3),4
reason(1),6
gender(5),4
western(2),2
committee(3),3
decide(1),14
asian(9),1
raise(1),6
asians'(9),1
awareness(9),1
choose(2),5
pool(1),2
compose(4),2
country(1),14
unique(4),6
korea(9),1
japan(9),7
favor(2),2
china(3),3
god(1),8
longwang(9),2
fengshen(9),1
request(3),3
deleted(9),1
nabi(9),1
south(1),1
replace(3),3
deletion(9),1
severe(4),2
bear(1),1
kizhi(9),2
lake(1),1
onega(9),1
collection(3),3
wooden(2),3
church(1),2
tourist(3),4
attraction(4),2
russia(9),1
cultural(3),5
organization(2),3
heritage(6),1
km(3),3
rock(1),2
stick(2),5
entire(2),6
outdoor(3),2
museum(2),1
architecture(5),2
historically(9),1
significant(3),3
fish(1),11
jewel(3),1
22-domed(9),1
transfiguration(9),1
m(9),1
log(2),1
structure(3),3
pine(3),1
quite(1),9
once(1),8
divinity(9),3
grant(5),1
abuse(6),1
chief(1),4
hide(2),9
brahma(9),2
council(4),2
deep(1),4
earth(1),4
top(1),7
neither(2),3
dig(1),1
climb(1),1
eventually(9),3
finally(9),5
down(1),17
already(1),8
within(2),10
effort(2),4
attention(2),2
conflict(2),2
egypt(9),1
hello(1),3
objective(4),1
peace(2),2
break(1),9
barrier(4),1
observe(3),3
couldn't(9),2
response(3),2
aim(2),3
foster(6),1
harmony(4),1
confine(4),1
spirit(2),1
communicate(3),2
remind(3),2
skirt(2),2
kilt(9),9
traditionally(9),2
scottish(9),1
tailor(3),1
wearer's(9),2
waist(2),3
front(1),11
again(1),3
overlap(6),1
properly(9),2
loose(3),1
wearer(9),2
easily(9),6
twist(3),3
nor(1),2
tight(3),2
bulge(5),1
fabric(5),1
underwear(2),1
distinctive(5),1
feature(3),6
pattern(2),5
association(4),1
individual(3),6
trace(3),4
victorian(9),1
era(4),1
weave(3),3
systematically(9),1
formalize(9),1
setts(9),2
today(1),3
state(1),10
anybody(2),1
decorative(9),2
knife(1),12
wide(1),6
fairly(3),3
plain(2),3
elaborate(5),2
silver-(9),1
jewel-ornamented(9),1
gaelic(9),1
pouch(9),1
upset(3),2
wesla(9),2
famous(2),5
jazz(2),1
style(3),3
performance(3),6
interview(2),2
my(1),19
nightclub(9),1
york(9),2
whitfield(9),3
wheel(2),3
herself(9),4
onstage(9),1
whitfield's(9),1
voice(1),3
soulful(9),1
everyone(9),4
room(1),2
forget(1),2
wheelchair(5),2
witty(6),1
persistent(6),1
waitress(2),1
pizza(2),1
classical(3),2
san(9),4
francisco(9),3
opera(4),1
rehearsal(6),1
catch(1),2
midst(5),1
random(6),1
shoot(2),4
paralyze(6),1
deal(1),4
realization(6),1
she'd(9),1
confess(4),1
initially(9),1
didn't(9),2
face(1),2
depression(4),2
kill(1),6
admit(3),3
misfortunate(9),1
ability(2),7
still(1),7
possess(4),1
valuable(3),1
point(1),1
disability(6),1
angry(1),2
frustrate(3),2
everybody's(9),1
happen(1),4
myself(9),1
fork(1),14
origin(3),3
tin(5),6
aid(2),1
carve(4),8
meat(1),2
prevent(3),7
allow(1),14
food(1),11
slide(2),1
century(2),5
royal(2),2
middle(1),7
east(1),3
wealthy(3),3
byzantine(9),1
adopt(3),6
italy(9),1
french(9),3
england(9),3
thomas(9),3
english(1),4
ridicule(6),2
symbol(2),7
prize(2),4
material(2),9
intend(4),1
impress(3),3
mid(9),1
consider(2),11
fashionable(3),2
model(2),5
kitchen(1),1
piece(1),18
fell(9),3
slip(2),1
curve(4),2
additional(3),2
diners(9),1
drop(2),8
serve(1),10
scoop(3),2
constantly(9),2
switch(3),1
spoon(1),1
four-tined(9),1
develop(2),12
germany(9),1
slowly(9),1
spread(2),12
favorite(2),4
subject(2),5
pet(1),5
follow(1),4
zoo(1),4
professional(4),1
photographer(2),1
refuse(2),4
photograph(2),4
portrait(3),1
cat(1),1
dog(1),10
biscuit(3),1
treat(2),5
animal's(9),1
capture(3),5
picture(1),7
camera's(9),1
they'll(9),3
pet's(9),3
quick(1),2
shot(1),2
simply(2),8
snap(3),1
you'll(9),6
expression(3),4
depend(2),6
curious(2),2
possibly(9),3
awaken(3),1
can't(9),2
wake(2),3
wait(1),3
position(1),3
close(1),5
glass(1),1
throw(1),1
bar(1),1
concentrate(4),2
machinery(4),1
ending(2),1
john(9),5
read(1),6
twice(1),1
week(1),6
broaden(5),1
hou-i(9),1
well-known(9),2
chinese(9),9
true(1),3
historical(3),2
under(1),7
enough(1),11
recognize(3),2
dangerous(2),3
sigh(3),1
hear(1),6
brother(1),4
outgoing(5),2
personality(3),2
beat(1),1
paul(9),1
championship(4),1
taipei(9),2
proud(2),1
fancy(3),1
cool(1),1
change(2),10
past(1),1
grandfather(1),1
am(1),2
chairperson(5),1
speak(1),5
opinion(2),3
chen(9),1
willing(2),2
money(1),8
website(4),4
memory(2),9
computer(2),3
coral(5),5
reef(5),6
stony(9),1
hideaways(9),1
lay(1),2
egg(1),1
underwater(9),1
disappear(2),4
one-third(9),1
shape(1),2
scientist(2),9
question(1),5
pollution(4),1
pollutant(6),1
rainwater(9),2
river(1),2
poison(2),2
resistance(4),1
temperature(3),3
tiny(1),5
greenish-gold(9),1
algae(9),1
frequently(9),4
factor(3),5
disappearance(9),2
crash(3),3
boat(1),2
anchor(5),3
chunk(6),1
divers(9),1
collect(2),6
souvenir(4),1
colorful(2),1
stop(1),6
activity(3),5
threaten(3),3
code(4),6
section(2),1
telephone(2),1
represent(3),4
geographical(5),1
phone(2),1
digits(9),1
doesn't(9),2
dial(2),1
format(5),1
x(9),1
2-9(9),1
y(9),1
city(1),3
third(1),8
assign(4),2
los(9),2
angeles(9),1
determine(3),5
cost(1),3
group(1),15
neighbor(2),3
normally(9),1
charge(2),1
rate(3),2
outside(1),4
coin(2),7
collector(6),1
invest(4),1
major(3),6
rarity(9),1
thousand-year-old(9),1
sell(1),5
liberty(3),1
head(1),5
nickel(5),1
greatly(9),5
command(3),1
dime(3),1
significantly(9),3
dim(3),2
fight(1),5
psychologist(4),3
alfred(9),1
binet(9),1
(1859-1911)(9),1
approach(3),3
normal(3),2
mind(1),4
nature(1),3
mental(3),2
measure(2),6
apart(3),1
education(2),6
test(2),34
task(2),4
copy(2),2
children's(9),4
intelligence(4),3
data(2),2
percent(4),6
8-year-olds(9),1
pass(1),10
success(2),2
8-year-old's(9),1
level(1),9
binet's(9),1
phrase(2),2
enter(1),4
iq(6),2
ratio(5),1
chronological(9),1
8-year-old(9),1
10-year-old's(9),1
german(9),2
swiss(9),11
army(1),5
device(4),5
humble(2),1
nineteenth(9),3
issue(5),7
soldier(2),4
gun(1),1
screwdriver(4),2
dismantle(6),1
lifesaver(9),1
struggle(2),2
cheap(2),5
carl(9),1
manufacturer(4),2
seize(3),2
opportunity(3),4
soldier's(9),2
offizier(9),2
officer's(9),2
serving(6),2
military(2),2
purchasers(9),1
corkscrew(9),1
wine(1),1
officer(1),2
multi-functional(9),1
launch(4),2
second(1),9
station(1),2
quantity(2),1
difficult(1),3
space(1),9
mar(6),1
aside(3),3
comet(5),1
star(1),1
journey(3),1
concern(3),2
mortal(5),1
junk(3),3
satellite(4),3
vanguard(9),1
operate(2),1
connection(3),1
orbit(4),2
increasingly(9),2
abandon(4),2
purpose(1),2
currently(9),3
man-made(9),2
speed(2),4
per(2),2
vary(3),2
paint(1),4
chip(3),2
rocket(3),1
fuel(4),2
odd(3),1
million-dollar(9),1
tool(1),2
kit(3),1
astronaut(5),1
heidemarie(9),1
stefanyshyn-piper(9),1
hit(1),2
collide(6),2
fragment(6),2
avoid(2),2
devise(4),1
monitor(4),1
cooperative(4),1
litter(3),1
alcohol(4),10
breath(3),1
whether(1),7
drunk(3),3
legal(2),2
blood(1),14
arrest(2),1
positive(2),6
"""non-alcoholic""(9)",1
really(9),7
someone(1),2
missouri(9),1
set(1),9
investigate(3),1
possibility(2),2
abt(9),2
presence(2),3
crucial(6),2
sooner(9),1
majority(3),2
indian(9),1
dot(2),5
marital(9),1
primarily(9),1
hindu(9),3
hindi(9),1
commonly(9),4
tradition(2),5
fade(3),2
nowadays(4),2
bindi(9),2
inner(3),1
outer(3),1
inward(5),1
signify(6),1
piety(6),1
constant(3),3
reminder(5),1
believer's(9),1
traditional(2),6
wife's(9),1
seal(3),1
fortune(3),10
marry(1),5
sticker(9),1
bindis(9),1
unmarried(9),1
statement(1),1
rain(1),4
yesterday(1),1
baseball(1),1
rely(3),3
internet(4),1
trip(1),2
summer(1),6
france(9),1
fully(9),1
friend's(9),1
suggestion(4),1
bank(1),3
staff(3),3
provideservice.john's(9),1
part-time(9),1
cafeteria(2),1
restaurant.women's(9),1
prefer(2),3
seagull(4),1
glide(4),1
settle(2),2
informative(4),1
me(1),3
laugh(1),2
neck(1),1
flu(2),2
chance(1),3
kingdom(2),1
death(1),3
kevin(9),1
year's(9),5
joe(9),1
live-in(9),1
babysitter(9),1
three-year-old(9),1
oppose(4),1
transfer(4),3
deposit(3),1
comment(4),1
modest(4),1
probable(3),1
calculation(4),1
annoy(4),3
concrete(4),1
virus(4),4
withdraw(4),1
considerably(9),1
english-speaking(9),1
prompt(4),2
relative(4),1
whom(1),1
father's(9),3
born(1),4
surname(9),2
selection(2),1
child's(9),1
maiden(5),1
boys'(9),1
girls'(9),1
sophie(9),1
symbolize(6),1
christian(9),1
necessarily(9),2
fond(3),1
involve(4),6
beauty(1),1
flower(1),4
iris(9),1
impact(4),4
strongly(9),1
draw(1),3
character(2),2
television(2),2
actor(1),2
pick(2),6
foreign(1),3
unusual(9),4
regardless(6),2
calendar(2),1
lucky(1),4
skinny(2),1
greek(9),2
writer(1),2
roadside(9),1
traveler(3),2
sort(2),5
aesop(9),4
i'll(9),1
warm-hearted.(9),1
"""i'm(9)",2
dear(1),1
athens(9),2
argos(9),1
thief(2),2
i'm(9),2
afraid(1),1
reply(2),1
otherwise(4),2
mount(5),2
mountain(1),4
witness(4),1
scene(1),3
depict(6),3
earnest(4),2
hemingway's(9),1
snow(1),6
writer's(9),1
description(3),1
millennia-old(9),1
environmentalists(9),1
document(5),2
effect(2),6
kilimanjaro's(9),1
glacier(5),1
melt(3),1
summit(3),1
ecosystem(9),2
african(9),6
moisture(3),2
loss(2),5
disastrous(6),1
encounter(4),2
complex(3),2
thoroughly(9),1
examine(1),2
specialize(6),2
ordinary(2),1
intelligent(4),1
account(3),3
policy(2),1
course(1),7
action(1),2
short(1),4
period(2),1
pride(2),2
decisive(6),3
decision(2),3
support(2),5
toni(9),1
morrison(9),7
southern(2),1
excellent(2),3
despite(4),3
atmosphere(4),1
racial(3),1
discrimination(6),2
graduate(3),1
teacher(1),6
marriage(2),2
temporary(3),2
writers'(9),2
poem(2),2
childhood(3),3
pray(2),1
blue(1),8
divorce(4),1
devote(4),3
dust(3),1
expand(4),2
imagination(3),1
element(2),2
search(2),2
identity(3),1
nobel(9),1
eighth(9),1
below(1),1
excerpt(6),1
zeke(9),1
health-policy(9),1
you're(9),4
mayor(3),2
extremely(9),2
talent(2),1
bioethicist(9),1
architect(5),2
bit(1),2
idiocies(9),1
emanuel(9),2
jotting(9),1
mom(1),2
brothers'(9),1
strive(4),1
rest(1),4
there's(9),1
maybe(1),1
admonition(9),1
offense(4),1
cell(2),1
ari(9),1
superagent(9),1
rahm(9),1
academic(4),1
guarantee(4),1
none(2),5
beach(1),3
pina(9),1
massive(5),2
large-scale(9),2
interactive(9),2
participation(4),1
addition(2),2
moocs(9),2
user(2),1
forums(9),1
community(4),4
wave(2),2
professor(4),5
sebastian(9),1
thrun(9),2
stanford(9),1
university(4),6
graduate-level(9),1
breed(4),2
class(1),3
decrease(4),1
envisioned(9),1
perhaps(1),1
strike(2),1
prestigious(9),1
certainly(9),3
news(1),3
cash-strapped(9),1
excitement(2),1
enrollment(5),2
minority(3),1
leave(1),12
critic(4),2
unrealistic(9),1
one-size-fits-all(9),1
replacement(3),1
dialogue(3),1
brain(2),5
blank(2),1
arouse(4),1
miss(1),2
aspect(4),2
periodic(9),1
leap(3),1
driver(1),1
assistance(4),1
technology(3),4
vehicle-to-vehicle(9),1
automotive(9),1
reduce(3),9
wireless(9),1
signal(3),4
forth(3),1
safe(1),3
vehicle-to-infrastructure(9),1
vehicle(3),3
road(1),1
management(3),1
possible(1),4
"reverse-park,(9)",1
maintain(2),2
