ab,year,questionType,title,word,words,count,level,pos,fromChoices
A,100,C,A-100-C-Q31to40,substance,substances,1,3,n.,0
A,100,C,A-100-C-Q31to40,can,can,1,1,v.(aux.),0
A,100,C,A-100-C-Q31to40,cause,cause,2,1,n./v.,0
A,100,C,A-100-C-Q31to40,health,health,2,1,n.,0
A,100,C,A-100-C-Q31to40,found,found,2,3,v.,0
A,100,C,A-100-C-Q31to40,commercial,commercial,1,3,adj./n.,0
A,100,C,A-100-C-Q31to40,company,companies,1,2,n.,0
A,100,C,A-100-C-Q31to40,often,often,1,1,"adv. ",0
A,100,C,A-100-C-Q31to40,coat,coat,1,1,n./v.,0
A,100,C,A-100-C-Q31to40,their,their,1,1,pron.,0
A,100,C,A-100-C-Q31to40,bag,bags,1,1,n.,0
A,100,C,A-100-C-Q31to40,with,with,3,1,prep.,0
A,100,C,A-100-C-Q31to40,chemical,chemical,1,2,adj./n.,0
A,100,C,A-100-C-Q31to40,call,called,1,1,v./n.,0
A,100,C,A-100-C-Q31to40,perfluorooctanoic,perfluorooctanoic,1,9,,0
A,100,C,A-100-C-Q31to40,acid,acid,1,4,n./adj.,0
A,100,C,A-100-C-Q31to40,which,which,1,1,pron./adj.,0
A,100,C,A-100-C-Q31to40,have,has,1,1,v./aux.,0
A,100,C,A-100-C-Q31to40,be,been,1,1,v.,0
A,100,C,A-100-C-Q31to40,both,both,1,1,adj./pron./adv.,0
A,100,C,A-100-C-Q31to40,cancer,cancer,1,2,n.,0
A,100,C,A-100-C-Q31to40,and,and;And,8,1,conj.,0
A,100,C,A-100-C-Q31to40,lung,lung,2,3,n.,0
A,100,C,A-100-C-Q31to40,disease,disease,1,3,n.,0
A,100,C,A-100-C-Q31to40,in,in,1,1,prep./adv./adj.,0
A,100,C,A-100-C-Q31to40,laboratory,laboratory,1,4,n.,0
A,100,C,A-100-C-Q31to40,matter,matters,1,1,n.,0
A,100,C,A-100-C-Q31to40,artificial,artificial,1,4,adj.,0
A,100,C,A-100-C-Q31to40,butter,butter,2,1,n./v.,0
A,100,C,A-100-C-Q31to40,substitute,substitute,1,5,n./v.,0
A,100,C,A-100-C-Q31to40,generally,generally,1,9,,0
A,100,C,A-100-C-Q31to40,come,comes,1,1,v.,0
A,100,C,A-100-C-Q31to40,microwavable,microwavable,1,9,,0
A,100,C,A-100-C-Q31to40,common,common,1,1,adj./n.,0
A,100,C,A-100-C-Q31to40,food-flavoring,food-flavoring,1,9,,0
A,100,C,A-100-C-Q31to40,accord,according,1,6,v./n.,0
A,100,C,A-100-C-Q31to40,responsible,responsible,1,2,adj.,0
A,100,C,A-100-C-Q31to40,for,for,1,1,prep./conj.,0
A,100,C,A-100-C-Q31to40,some,some,1,1,adj./pron.,0
A,100,C,A-100-C-Q31to40,serious,serious,1,2,adj.,0
A,100,C,A-100-C-Q31to40,easy,easy,1,1,adj.,0
A,100,C,A-100-C-Q31to40,healthy,healthy,2,2,adj.,0
A,100,C,A-100-C-Q31to40,nutritionists,nutritionists,1,9,,0
A,100,C,A-100-C-Q31to40,suggest,suggest,1,3,v.,0
A,100,C,A-100-C-Q31to40,we,we,1,1,pron.,0
A,100,C,A-100-C-Q31to40,pop,pop;popping,2,1,n.,0
A,100,C,A-100-C-Q31to40,our,our,1,1,pron.,0
A,100,C,A-100-C-Q31to40,own,own,1,9,,0
A,100,C,A-100-C-Q31to40,all,All,1,1,adj./adv./pron./n.,0
A,100,C,A-100-C-Q31to40,need,needed,1,1,v./aux./n.,0
A,100,C,A-100-C-Q31to40,high,high,1,1,adj./n./adv.,0
A,100,C,A-100-C-Q31to40,about,about,1,1,prep./adv.,0
A,100,C,A-100-C-Q31to40,four,four,1,1,n./adj.,0
A,100,C,A-100-C-Q31to40,tablespoons,tablespoons,1,9,,0
A,100,C,A-100-C-Q31to40,vegetable,vegetable,1,1,n.,0
A,100,C,A-100-C-Q31to40,oil,oil,2,9,,0
A,100,C,A-100-C-Q31to40,small,small,2,1,adj./n./adv.,0
A,100,C,A-100-C-Q31to40,handful,handful,1,3,n.,0
A,100,C,A-100-C-Q31to40,organic,organic,1,4,adj.,0
A,100,C,A-100-C-Q31to40,when,When,1,1,adv./pron./conj.,0
A,100,C,A-100-C-Q31to40,kernel,kernels,2,6,n.,0
A,100,C,A-100-C-Q31to40,start,start,1,1,v./n.,0
A,100,C,A-100-C-Q31to40,shake,shake,1,1,v./n.,0
A,100,C,A-100-C-Q31to40,pot,pot,2,2,n./v.,0
A,100,C,A-100-C-Q31to40,let,let,2,1,v.,0
A,100,C,A-100-C-Q31to40,steam,steam,1,2,n./v.,0
A,100,C,A-100-C-Q31to40,escape,escape,1,3,v./n.,0
A,100,C,A-100-C-Q31to40,unpopped,unpopped,1,9,,0
A,100,C,A-100-C-Q31to40,fall,fall,1,1,n.,0
A,100,C,A-100-C-Q31to40,as,As;as,2,1,adv./conj./prep./pron.,0
A,100,C,A-100-C-Q31to40,soon,soon,1,1,adv.,0
A,100,C,A-100-C-Q31to40,slow,slows,1,1,adj./adv./v.,0
A,100,C,A-100-C-Q31to40,remove,remove,1,3,v.,0
A,100,C,A-100-C-Q31to40,from,from,1,1,prep.,0
A,100,C,A-100-C-Q31to40,then,Then,1,1,adv./adj./n./conj.,0
A,100,C,A-100-C-Q31to40,pour,pour,1,3,v.,0
A,100,C,A-100-C-Q31to40,into,into,1,1,prep.,0
A,100,C,A-100-C-Q31to40,bowl,bowl,1,1,n.,0
A,100,C,A-100-C-Q31to40,season,season,1,1,n.,0
A,100,C,A-100-C-Q31to40,amount,amount,1,2,n./v.,0
A,100,C,A-100-C-Q31to40,real,real,1,1,adj.,0
A,100,C,A-100-C-Q31to40,or,or,1,1,conj.,0
A,100,C,A-100-C-Q31to40,olive,olive,1,9,,0
A,100,C,A-100-C-Q31to40,natural,natural,1,2,adj.,0
A,100,C,A-100-C-Q31to40,fun,fun,1,1,n.,0
A,100,C,A-100-C-Q31to40,ready,ready,1,1,adj./v.,0
A,100,M,A-100-M-Q16to20,wrap,wrapped,1,3,v./n.,1
A,100,M,A-100-M-Q16to20,when,When,2,1,adv./pron./conj.,0
A,100,M,A-100-M-Q16to20,it,it,5,1,pron.,0
A,100,M,A-100-M-Q16to20,come,comes,1,1,v.,0
A,100,M,A-100-M-Q16to20,to,to,9,1,prep.,0
A,100,M,A-100-M-Q16to20,people,people,1,1,n./v.,0
A,100,M,A-100-M-Q16to20,think,think,1,1,v.,0
A,100,M,A-100-M-Q16to20,of,of,3,9,,0
A,100,M,A-100-M-Q16to20,pyramid,pyramids;pyramid,3,5,n.,0
A,100,M,A-100-M-Q16to20,and,and,2,1,conj.,0
A,100,M,A-100-M-Q16to20,both,both,1,1,adj./pron./adv.,0
A,100,M,A-100-M-Q16to20,which,which,2,1,pron./adj.,0
A,100,M,A-100-M-Q16to20,are,are,1,1,v.,0
A,100,M,A-100-M-Q16to20,closely,closely,1,9,,0
A,100,M,A-100-M-Q16to20,relate,related,1,3,v.,0
A,100,M,A-100-M-Q16to20,egyptian,Egyptian,1,9,,0
A,100,M,A-100-M-Q16to20,religious,religious,1,3,adj.,0
A,100,M,A-100-M-Q16to20,the,The;the,10,1,art.,0
A,100,M,A-100-M-Q16to20,ancient,ancient,1,2,adj.,0
A,100,M,A-100-M-Q16to20,egyptians,Egyptians,2,9,,0
A,100,M,A-100-M-Q16to20,believe,believed,1,1,v.,0
A,100,M,A-100-M-Q16to20,firmly,firmly,1,9,,0
A,100,M,A-100-M-Q16to20,in,in,4,1,prep./adv./adj.,0
A,100,M,A-100-M-Q16to20,life,life,2,1,n.,0
A,100,M,A-100-M-Q16to20,after,after,1,1,prep./conj./adv.,0
A,100,M,A-100-M-Q16to20,a,a,3,1,art.,0
A,100,M,A-100-M-Q16to20,person,person,1,1,n.,0
A,100,M,A-100-M-Q16to20,his,his,1,1,pron.,0
A,100,M,A-100-M-Q16to20,or,or,2,1,conj.,0
A,100,M,A-100-M-Q16to20,her,her,1,1,pron.,0
A,100,M,A-100-M-Q16to20,soul,soul,2,1,n.,0
A,100,M,A-100-M-Q16to20,be,was,1,1,v.,0
A,100,M,A-100-M-Q16to20,thought,thought,1,1,n.,0
A,100,M,A-100-M-Q16to20,travel,travel,2,2,v./n.,0
A,100,M,A-100-M-Q16to20,an,an,1,1,art.,0
A,100,M,A-100-M-Q16to20,where,where,1,1,adv./conj./pron./n.,0
A,100,M,A-100-M-Q16to20,go,went,1,1,v./n.,0
A,100,M,A-100-M-Q16to20,through,through,1,2,prep./adv.,0
A,100,M,A-100-M-Q16to20,series,series,1,5,n.,0
A,100,M,A-100-M-Q16to20,judgment,judgments,1,2,v./(n.),0
A,100,M,A-100-M-Q16to20,before,before,2,1,conj./prep./adv.,0
A,100,M,A-100-M-Q16to20,could,could,1,9,,0
A,100,M,A-100-M-Q16to20,progress,progress,1,2,n./v.,0
A,100,M,A-100-M-Q16to20,better,better,1,1,adj./adv./n./v.,0
A,100,M,A-100-M-Q16to20,next,next,2,1,adj./adv.,0
A,100,M,A-100-M-Q16to20,for,For;for,2,1,prep./conj.,0
A,100,M,A-100-M-Q16to20,body,body,4,1,n.,0
A,100,M,A-100-M-Q16to20,have,had,1,1,v./aux.,0
A,100,M,A-100-M-Q16to20,remain,remain,1,3,v.,0
A,100,M,A-100-M-Q16to20,they,they,1,1,pron.,0
A,100,M,A-100-M-Q16to20,learned,learned,1,4,adj.,0
A,100,M,A-100-M-Q16to20,how,how,1,1,adv.,0
A,100,M,A-100-M-Q16to20,preserve,preserve,1,4,v.,0
A,100,M,A-100-M-Q16to20,by,by,1,1,prep./adv.,0
A,100,M,A-100-M-Q16to20,dry,drying,1,1,adj./v.,0
A,100,M,A-100-M-Q16to20,oiling,oiling,1,9,,0
A,100,M,A-100-M-Q16to20,then,then,1,1,adv./adj./n./conj.,0
A,100,M,A-100-M-Q16to20,wrap,wrapping;wrapped,2,3,v./n.,0
A,100,M,A-100-M-Q16to20,place,placing,1,1,n./v.,0
A,100,M,A-100-M-Q16to20,also,also,1,1,adv.,0
A,100,M,A-100-M-Q16to20,build,built,1,1,v.,0
A,100,M,A-100-M-Q16to20,as,as,1,1,adv./conj./prep./pron.,0
A,100,M,A-100-M-Q16to20,tomb,tombs,1,4,n.,0
A,100,M,A-100-M-Q16to20,their,their,1,1,pron.,0
A,100,M,A-100-M-Q16to20,house,housed,1,1,n./v.,0
A,100,M,A-100-M-Q16to20,pharaoh's,pharaoh's,1,9,,0
A,100,M,A-100-M-Q16to20,together,together,1,1,adv.,0
A,100,M,A-100-M-Q16to20,with,with,1,1,prep.,0
A,100,M,A-100-M-Q16to20,priceless,priceless,1,5,adj.,0
A,100,M,A-100-M-Q16to20,would,would,1,9,,0
A,100,M,A-100-M-Q16to20,accompany,accompany,1,4,v.,0
A,100,M,A-100-M-Q16to20,him,him,1,1,pron.,0
A,100,M,A-100-M-Q16to20,into,into,2,1,prep.,0
A,100,M,A-100-M-Q16to20,make,made,1,1,v.,0
A,100,M,A-100-M-Q16to20,change,changed,1,2,v./n.,0
A,100,M,A-100-M-Q16to20,turn,turned,1,1,v./n.,0
A,100,M,A-100-M-Q16to20,out,out,1,1,adv./prep./n./adj./v.,0
A,100,M,A-100-M-Q16to20,replace,replace,1,3,v./(n.),0
A,100,M,A-100-M-Q16to20,being,being,1,3,n.,0
A,100,M,A-100-M-Q21to25,bring,brought,1,1,v.,1
A,100,M,A-100-M-Q21to25,on,On,1,9,,0
A,100,M,A-100-M-Q21to25,march,March,1,1,n.,0
A,100,M,A-100-M-Q21to25,the,the;The,10,1,art.,0
A,100,M,A-100-M-Q21to25,musical,musical,3,3,adj./n.,0
A,100,M,A-100-M-Q21to25,mamma,MAMMA,1,9,,0
A,100,M,A-100-M-Q21to25,make,made,1,1,v.,0
A,100,M,A-100-M-Q21to25,its,its;Its,3,1,pron.,0
A,100,M,A-100-M-Q21to25,first,first,1,1,adj./n./adv.,0
A,100,M,A-100-M-Q21to25,public,public,1,1,adj./n.,0
A,100,M,A-100-M-Q21to25,appearance,appearance,1,2,n.,0
A,100,M,A-100-M-Q21to25,in,in,5,1,prep./adv./adj.,0
A,100,M,A-100-M-Q21to25,it,It;it,4,1,pron.,0
A,100,M,A-100-M-Q21to25,be,was;been;were,5,1,v.,0
A,100,M,A-100-M-Q21to25,give,given,1,1,v.,0
A,100,M,A-100-M-Q21to25,kind,kind,1,1,adj.,0
A,100,M,A-100-M-Q21to25,of,of,3,9,,0
A,100,M,A-100-M-Q21to25,welcome,welcome,1,1,v./adj./n.,0
A,100,M,A-100-M-Q21to25,have,has;have;had,8,1,v./aux.,0
A,100,M,A-100-M-Q21to25,get,getting,1,1,v.,0
A,100,M,A-100-M-Q21to25,ever,ever,1,1,adv.,0
A,100,M,A-100-M-Q21to25,audience,audience,1,3,n.,0
A,100,M,A-100-M-Q21to25,go,went,1,1,v./n.,0
A,100,M,A-100-M-Q21to25,they,They,1,1,pron.,0
A,100,M,A-100-M-Q21to25,literally,literally,1,9,,0
A,100,M,A-100-M-Q21to25,out,out,1,1,adv./prep./n./adj./v.,0
A,100,M,A-100-M-Q21to25,their,their,1,1,pron.,0
A,100,M,A-100-M-Q21to25,seat,seats,1,1,n./v.,0
A,100,M,A-100-M-Q21to25,and,and,5,1,conj.,0
A,100,M,A-100-M-Q21to25,sing,singing,1,1,v.,0
A,100,M,A-100-M-Q21to25,dance,dancing,1,1,v./n.,0
A,100,M,A-100-M-Q21to25,become,become,1,1,v.,0
A,100,M,A-100-M-Q21to25,a,a,3,1,art.,0
A,100,M,A-100-M-Q21to25,global,global,1,3,adj.,0
A,100,M,A-100-M-Q21to25,entertainment,entertainment,1,4,v./(n.),0
A,100,M,A-100-M-Q21to25,more,More;more,3,1,adj./pron./adv.,0
A,100,M,A-100-M-Q21to25,than,than,3,1,prep./conj.,0
A,100,M,A-100-M-Q21to25,million,million,1,2,n.,0
A,100,M,A-100-M-Q21to25,people,people,2,1,n./v.,0
A,100,M,A-100-M-Q21to25,all,all,1,1,adj./adv./pron./n.,0
A,100,M,A-100-M-Q21to25,over,over,1,1,prep./adv.,0
A,100,M,A-100-M-Q21to25,world,world,1,1,n.,0
A,100,M,A-100-M-Q21to25,fall,fallen,1,1,n.,0
A,100,M,A-100-M-Q21to25,love,love,1,1,n./v.,0
A,100,M,A-100-M-Q21to25,with,with,2,1,prep.,0
A,100,M,A-100-M-Q21to25,story,story,1,1,n.,0
A,100,M,A-100-M-Q21to25,perform,performed,1,3,v.,0
A,100,M,A-100-M-Q21to25,nine,nine,1,1,n./adj.,0
A,100,M,A-100-M-Q21to25,production,productions,1,4,n.,0
A,100,M,A-100-M-Q21to25,any,any,1,1,adj./pron./adv.,0
A,100,M,A-100-M-Q21to25,other,other,1,1,adj./pron.,0
A,100,M,A-100-M-Q21to25,worldwide,worldwide,1,9,,0
A,100,M,A-100-M-Q21to25,popularity,popularity,1,4,n.,0
A,100,M,A-100-M-Q21to25,is,is,2,1,v.,0
A,100,M,A-100-M-Q21to25,mainly,mainly,1,9,,0
A,100,M,A-100-M-Q21to25,due,due,1,3,adj./n./adv.,0
A,100,M,A-100-M-Q21to25,to,to;To,3,1,prep.,0
A,100,M,A-100-M-Q21to25,theme,theme,1,4,n.,0
A,100,M,A-100-M-Q21to25,which,which,1,1,pron./adj.,0
A,100,M,A-100-M-Q21to25,showcases,showcases,1,9,,0
A,100,M,A-100-M-Q21to25,abba's,ABBA's,1,9,,0
A,100,M,A-100-M-Q21to25,timeless,timeless,1,9,,0
A,100,M,A-100-M-Q21to25,song,songs,1,1,n.,0
A,100,M,A-100-M-Q21to25,fresh,fresh,1,1,adj.,0
A,100,M,A-100-M-Q21to25,vital,vital,1,4,adj.,0
A,100,M,A-100-M-Q21to25,way,way,1,1,n.,0
A,100,M,A-100-M-Q21to25,that,that,2,1,pron./adj./adv./conj.,0
A,100,M,A-100-M-Q21to25,retain,retains,1,4,v.,0
A,100,M,A-100-M-Q21to25,essence,essence,1,6,n.,0
A,100,M,A-100-M-Q21to25,both,both,1,1,adj./pron./adv.,0
A,100,M,A-100-M-Q21to25,pop,pop,1,1,n.,0
A,100,M,A-100-M-Q21to25,music,music,1,1,n.,0
A,100,M,A-100-M-Q21to25,good,good,1,1,adj./n./adv.,0
A,100,M,A-100-M-Q21to25,appeal,appealed,1,3,n./v.,0
A,100,M,A-100-M-Q21to25,so,so,1,1,adv.,0
A,100,M,A-100-M-Q21to25,many,many,1,1,adj./pron.,0
A,100,M,A-100-M-Q21to25,film,film,1,2,n./v.,0
A,100,M,A-100-M-Q21to25,version,version,1,6,n.,0
A,100,M,A-100-M-Q21to25,also,also,1,1,adv.,0
A,100,M,A-100-M-Q21to25,no,no,1,1,adj./adv./n.,0
A,100,M,A-100-M-Q21to25,one's,one's,1,9,,0
A,100,M,A-100-M-Q21to25,enjoy,enjoyed,1,2,v./(n.),0
A,100,M,A-100-M-Q21to25,similar,similar,1,2,adj.,0
A,100,M,A-100-M-Q21to25,physical,physical,1,4,adj.,0
A,100,M,A-100-M-Q21to25,else,else,1,1,adv.,0
A,100,M,A-100-M-Q21to25,present,presented,1,2,adj./n.,0
A,100,M,A-100-M-Q21to25,result,resulted,1,2,n./v.,0
A,100,M,A-100-M-Q21to25,bring,brought,1,1,v.,0
A,100,M,A-100-M-Q26to30,to,to,1,1,prep.,1
A,100,M,A-100-M-Q26to30,which,Which,1,1,pron./adj.,0
A,100,M,A-100-M-Q26to30,is,is,5,1,v.,0
A,100,M,A-100-M-Q26to30,more,more,3,1,adj./pron./adv.,0
A,100,M,A-100-M-Q26to30,water,Water,2,1,n./v.,0
A,100,M,A-100-M-Q26to30,or,or,1,1,conj.,0
A,100,M,A-100-M-Q26to30,useful,useful,1,1,adj.,0
A,100,M,A-100-M-Q26to30,to,to,6,1,prep.,0
A,100,M,A-100-M-Q26to30,mankind,mankind,1,3,n.,0
A,100,M,A-100-M-Q26to30,than,than,2,1,prep./conj.,0
A,100,M,A-100-M-Q26to30,and,and,2,1,conj.,0
A,100,M,A-100-M-Q26to30,yet,yet,1,1,adv./conj.,0
A,100,M,A-100-M-Q26to30,the,the,7,1,art.,0
A,100,M,A-100-M-Q26to30,latter,latter,1,3,adj.,0
A,100,M,A-100-M-Q26to30,are,are,2,1,v.,0
A,100,M,A-100-M-Q26to30,call,Called,1,1,v./n.,0
A,100,M,A-100-M-Q26to30,diamond-water,diamond-water,1,9,,0
A,100,M,A-100-M-Q26to30,this,this,1,1,pron./adj./adv.,0
A,100,M,A-100-M-Q26to30,a,a,3,1,art.,0
A,100,M,A-100-M-Q26to30,classic,classic,1,2,adj./n.,0
A,100,M,A-100-M-Q26to30,problem,problem,1,1,n.,0
A,100,M,A-100-M-Q26to30,pose,posed,1,2,v./n.,0
A,100,M,A-100-M-Q26to30,student,students,1,1,n.,0
A,100,M,A-100-M-Q26to30,of,of,3,9,,0
A,100,M,A-100-M-Q26to30,answer,answer,1,1,n./v.,0
A,100,M,A-100-M-Q26to30,have,has;have,2,1,v./aux.,0
A,100,M,A-100-M-Q26to30,do,do,1,1,v./aux.,0
A,100,M,A-100-M-Q26to30,with,with,1,1,prep.,0
A,100,M,A-100-M-Q26to30,supply,supply,1,2,v./n.,0
A,100,M,A-100-M-Q26to30,being,Being,1,3,n.,0
A,100,M,A-100-M-Q26to30,rare,rare,1,2,adj.,0
A,100,M,A-100-M-Q26to30,natural,natural,1,2,adj.,0
A,100,M,A-100-M-Q26to30,diamond,diamonds,2,2,n.,0
A,100,M,A-100-M-Q26to30,limit,limited,1,2,n./v.,0
A,100,M,A-100-M-Q26to30,in,in;In,3,1,prep./adv./adj.,0
A,100,M,A-100-M-Q26to30,their,their,1,1,pron.,0
A,100,M,A-100-M-Q26to30,demand,demand,1,4,n./v.,0
A,100,M,A-100-M-Q26to30,high,high;higher,2,1,adj./n./adv.,0
A,100,M,A-100-M-Q26to30,because,because,1,1,conj.,0
A,100,M,A-100-M-Q26to30,many,many,1,1,adj./pron.,0
A,100,M,A-100-M-Q26to30,people,people,1,1,n./v.,0
A,100,M,A-100-M-Q26to30,buy,buy,1,1,v./n.,0
A,100,M,A-100-M-Q26to30,them,them,2,1,pron.,0
A,100,M,A-100-M-Q26to30,tell,tell,1,1,v.,0
A,100,M,A-100-M-Q26to30,world,world,1,1,n.,0
A,100,M,A-100-M-Q26to30,that,that,1,1,pron./adj./adv./conj.,0
A,100,M,A-100-M-Q26to30,they,they,1,1,pron.,0
A,100,M,A-100-M-Q26to30,term,termed,1,2,n./v.,0
A,100,M,A-100-M-Q26to30,as,as,1,1,adv./conj./prep./pron.,0
A,100,M,A-100-M-Q26to30,conspicuous,conspicuous,1,9,,0
A,100,M,A-100-M-Q26to30,consumption,consumption,1,6,n.,0
A,100,M,A-100-M-Q26to30,other,other,1,1,adj./pron.,0
A,100,M,A-100-M-Q26to30,scarcity,scarcity,1,9,,0
A,100,M,A-100-M-Q26to30,goods,goods,1,4,n.,0
A,100,M,A-100-M-Q26to30,what,what,1,1,pron./adj.,0
A,100,M,A-100-M-Q26to30,cause,causes,1,1,n./v.,0
A,100,M,A-100-M-Q26to30,human,humans,1,1,adj./n.,0
A,100,M,A-100-M-Q26to30,attribute,attribute,1,9,,0
A,100,M,A-100-M-Q26to30,if,If,1,1,conj.,0
A,100,M,A-100-M-Q26to30,we,we,3,1,pron.,0
A,100,M,A-100-M-Q26to30,be,were;was,2,1,v.,0
A,100,M,A-100-M-Q26to30,surround,surrounded,1,3,v.,0
A,100,M,A-100-M-Q26to30,by,by,1,1,prep./adv.,0
A,100,M,A-100-M-Q26to30,an,an,1,1,art.,0
A,100,M,A-100-M-Q26to30,unending,unending,1,9,,0
A,100,M,A-100-M-Q26to30,abundance,abundance,1,6,n.,0
A,100,M,A-100-M-Q26to30,probably,probably,1,9,,0
A,100,M,A-100-M-Q26to30,wouldn't,wouldn't,1,9,,0
A,100,M,A-100-M-Q26to30,value,value,2,2,n./v.,0
A,100,M,A-100-M-Q26to30,very,very,1,1,adv.,0
A,100,M,A-100-M-Q26to30,carry,carry,1,1,v.,0
A,100,M,A-100-M-Q26to30,monetary,monetary,1,9,,0
A,100,M,A-100-M-Q26to30,even,even,1,1,adv.,0
A,100,M,A-100-M-Q26to30,though,though,1,1,conj./adv.,0
A,100,M,A-100-M-Q26to30,find,find,1,1,v./n.,0
A,100,M,A-100-M-Q26to30,use,use,1,1,v./n.,0
A,100,M,A-100-M-Q26to30,for,for,1,1,prep./conj.,0
A,100,M,A-100-M-Q26to30,following,following,1,2,prep./n./adj.,0
A,100,M,A-100-M-Q26to30,notice,noticed,1,1,n./v.,0
A,100,M,A-100-M-Q26to30,how,how,1,1,adv.,0
A,100,R,A-100-R-Q41to44,always,always,1,1,adv.,1
A,100,R,A-100-R-Q41to44,there,There,1,1,adv./n.,0
A,100,R,A-100-R-Q41to44,is,is,17,1,v.,0
A,100,R,A-100-R-Q41to44,a,a;A,16,1,art.,0
A,100,R,A-100-R-Q41to44,long-held,long-held,1,9,,0
A,100,R,A-100-R-Q41to44,belief,belief;beliefs,4,2,n.,0
A,100,R,A-100-R-Q41to44,that,that,6,1,pron./adj./adv./conj.,0
A,100,R,A-100-R-Q41to44,when,when,2,1,adv./pron./conj.,0
A,100,R,A-100-R-Q41to44,meeting,meeting,1,2,n.,0
A,100,R,A-100-R-Q41to44,the,the;The,16,1,art.,0
A,100,R,A-100-R-Q41to44,more,more,6,1,adj./pron./adv.,0
A,100,R,A-100-R-Q41to44,eye,eye;eyes;Eye,9,1,n./v.,0
A,100,R,A-100-R-Q41to44,contact,contact,4,2,n./v.,0
A,100,R,A-100-R-Q41to44,we,we;We,3,1,pron.,0
A,100,R,A-100-R-Q41to44,have,have,3,1,v./aux.,0
A,100,R,A-100-R-Q41to44,with,with,3,1,prep.,0
A,100,R,A-100-R-Q41to44,result,result,1,2,n./v.,0
A,100,R,A-100-R-Q41to44,an,an,2,1,art.,0
A,100,R,A-100-R-Q41to44,unfortunate,unfortunate,1,9,,0
A,100,R,A-100-R-Q41to44,tendency,tendency,1,4,n.,0
A,100,R,A-100-R-Q41to44,for,for,6,1,prep./conj.,0
A,100,R,A-100-R-Q41to44,people,people;People,6,1,n./v.,0
A,100,R,A-100-R-Q41to44,make,making;make,5,1,v.,0
A,100,R,A-100-R-Q41to44,initial,initial,1,4,adj.,0
A,100,R,A-100-R-Q41to44,job,job,1,1,n.,0
A,100,R,A-100-R-Q41to44,stare,stare,1,3,v./n.,0
A,100,R,A-100-R-Q41to44,fixedly,fixedly,1,9,,0
A,100,R,A-100-R-Q41to44,at,at,2,1,prep.,0
A,100,R,A-100-R-Q41to44,other,other,1,1,adj./pron.,0
A,100,R,A-100-R-Q41to44,this,this,1,1,pron./adj./adv.,0
A,100,R,A-100-R-Q41to44,behavior,behavior,1,4,n.,0
A,100,R,A-100-R-Q41to44,likely,likely,1,1,adj./adv.,0
A,100,R,A-100-R-Q41to44,to,to,5,1,prep.,0
A,100,R,A-100-R-Q41to44,interviewer,interviewer,1,9,,0
A,100,R,A-100-R-Q41to44,feel,feel,3,1,v./n.,0
A,100,R,A-100-R-Q41to44,very,very,1,1,adv.,0
A,100,R,A-100-R-Q41to44,most,Most,2,1,adj./pron./adv.,0
A,100,R,A-100-R-Q41to44,of,of,12,9,,0
A,100,R,A-100-R-Q41to44,us,us,2,1,pron.,0
A,100,R,A-100-R-Q41to44,are,are,2,1,v.,0
A,100,R,A-100-R-Q41to44,comfortable,comfortable,1,2,adj.,0
A,100,R,A-100-R-Q41to44,last,lasting,1,1,adj./adv./n.,0
